Domain,Reporter Country Code (M49),Reporter,Partner Country Code (M49),Partner,Measure,Item Code (CPC),Product,Year,Unit,Value,Unit Price (USD per t)
Detailed trade matrix,356,India,64,Bhutan,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,USD,156000.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,USD,1806000.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,1854000.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,1444000.0,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,111.0,Wheat,2017,t,146.5,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,111.0,Wheat,2019,t,0.24,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,111.0,Wheat,2020,t,2310.47,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,111.0,Wheat,2021,t,1910.3,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,111.0,Wheat,2022,t,2491.0,
Detailed trade matrix,356,India,64,Bhutan,Export quantity,111.0,Wheat,2023,t,530.79,
Detailed trade matrix,356,India,64,Bhutan,Export value,111.0,Wheat,2017,USD,28000.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,111.0,Wheat,2019,USD,0.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,111.0,Wheat,2020,USD,670000.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,111.0,Wheat,2021,USD,553000.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,111.0,Wheat,2022,USD,886000.0,
Detailed trade matrix,356,India,64,Bhutan,Export value,111.0,Wheat,2023,USD,206000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,t,2639.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,t,3881.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,t,3464.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,t,3108.02,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,t,3186.5,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,t,2613.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,t,2467.01,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,t,1617.62,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,t,2309.3,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2015,USD,1919000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2016,USD,1255000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2017,USD,1503000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2018,USD,1370000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2019,USD,1178000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2020,USD,1408000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2021,USD,1497000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2022,USD,971000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,1253.02,"Onions and shallots, dry (excluding dehydrated)",2023,USD,1124000.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,111.0,Wheat,2017,t,0.05,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,111.0,Wheat,2018,t,0.1,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,111.0,Wheat,2020,t,0.12,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,111.0,Wheat,2021,t,0.39,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export quantity,111.0,Wheat,2022,t,0.53,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,111.0,Wheat,2017,USD,0.0,
Detailed trade matrix,356,India,96,Brunei Darussalam,Export value,111.0,Wheat,2018,USD,0.0,
